,0
0,2.0
1,5.0
2,8.0
3,11.0
4,14.0
5,17.0
6,20.0
7,23.0
8,26.0
9,29.0
10,32.0
11,35.0
12,38.0
13,41.0
14,44.0
15,47.0
16,50.0
17,53.0
18,56.0
19,59.0
20,62.0
21,65.0
22,68.0
23,71.0
24,74.0
25,77.0
26,80.0
27,83.0
28,86.0
29,89.0
30,92.0
31,95.0
32,98.0
33,101.0
34,104.0
35,107.0
36,110.0
37,113.0
38,116.0
39,119.0
40,122.0
41,125.0
42,128.0
43,131.0
44,134.0
45,137.0
46,140.0
47,143.0
48,146.0
49,149.0
50,152.0
51,155.0
52,158.0
53,161.0
54,164.0
55,167.0
56,170.0
57,173.0
58,176.0
59,179.0
60,182.0
61,185.0
62,188.0
63,191.0
64,194.0
65,197.0
66,200.0
67,203.0
68,206.0
69,209.0
70,212.0
71,215.0
72,218.0
73,221.0
74,224.0
75,227.0
76,230.0
77,233.0
78,236.0
79,239.0
80,242.0
81,245.0
82,248.0
83,251.0
84,254.0
85,257.0
86,260.0
87,263.0
88,266.0
89,269.0
90,272.0
91,275.0
92,278.0
93,281.0
94,284.0
95,287.0
96,290.0
97,293.0
98,296.0
99,299.0
100,302.0
101,305.0
102,308.0
103,311.0
104,314.0
105,317.0
106,320.0
107,323.0
108,326.0
109,329.0
110,332.0
111,335.0
112,338.0
113,341.0
114,344.0
115,347.0
116,350.0
117,353.0
118,356.0
119,359.0
120,362.0
121,365.0
122,368.0
123,371.0
124,374.0
125,377.0
126,380.0
127,383.0
128,386.0
129,389.0
130,392.0
131,395.0
132,398.0
133,401.0
134,404.0
135,407.0
136,410.0
137,413.0
138,416.0
139,419.0
140,422.0
141,425.0
142,428.0
143,431.0
144,434.0
145,437.0
146,440.0
147,443.0
148,446.0
149,449.0
150,452.0
151,455.0
152,458.0
153,461.0
154,464.0
155,467.0
156,470.0
157,473.0
158,476.0
159,479.0
160,482.0
161,485.0
162,488.0
163,491.0
164,494.0
165,497.0
166,500.0
167,503.0
168,506.0
169,509.0
170,512.0
171,515.0
172,518.0
173,521.0
174,524.0
175,527.0
176,530.0
177,533.0
178,536.0
179,539.0
180,542.0
181,545.0
182,548.0
183,551.0
184,554.0
185,557.0
186,560.0
187,563.0
188,566.0
189,569.0
190,572.0
191,575.0
192,578.0
193,581.0
194,584.0
195,587.0
196,590.0
197,593.0
198,596.0
199,599.0
200,602.0
201,605.0
202,608.0
203,611.0
204,614.0
205,617.0
206,620.0
207,623.0
208,626.0
209,629.0
210,632.0
211,635.0
212,638.0
213,641.0
214,644.0
215,647.0
216,650.0
217,653.0
218,656.0
219,659.0
220,662.0
221,665.0
222,668.0
223,671.0
224,674.0
225,677.0
226,680.0
227,683.0
228,686.0
229,689.0
230,692.0
231,695.0
232,698.0
233,701.0
234,704.0
235,707.0
236,710.0
237,713.0
238,716.0
239,719.0
240,722.0
241,725.0
242,728.0
243,731.0
244,734.0
245,737.0
246,740.0
247,743.0
248,746.0
249,749.0
250,752.0
251,755.0
252,758.0
253,761.0
254,764.0
255,767.0
256,770.0
257,773.0
258,776.0
259,779.0
260,782.0
261,785.0
262,788.0
263,791.0
264,794.0
265,797.0
266,800.0
267,803.0
268,806.0
269,809.0
270,812.0
271,815.0
272,818.0
273,821.0
274,824.0
275,827.0
276,830.0
277,833.0
278,836.0
279,839.0
280,842.0
281,845.0
282,848.0
283,851.0
284,854.0
285,857.0
286,860.0
287,863.0
288,866.0
289,869.0
290,872.0
291,875.0
292,878.0
293,881.0
294,884.0
295,887.0
296,890.0
297,893.0
298,896.0
299,899.0
300,902.0
301,905.0
302,908.0
303,911.0
304,914.0
305,917.0
306,920.0
307,923.0
308,926.0
309,929.0
310,932.0
311,935.0
312,938.0
313,941.0
314,944.0
315,947.0
316,950.0
317,953.0
318,956.0
319,959.0
320,962.0
321,965.0
322,968.0
323,971.0
324,974.0
325,977.0
326,980.0
327,983.0
328,986.0
329,989.0
330,992.0
331,995.0
332,998.0
333,1001.0
334,1004.0
335,1007.0
336,1010.0
337,1013.0
338,1016.0
339,1019.0
340,1022.0
341,1025.0
342,1028.0
343,1031.0
344,1034.0
345,1037.0
346,1040.0
347,1043.0
348,1046.0
349,1049.0
350,1052.0
351,1055.0
352,1058.0
353,1061.0
354,1064.0
355,1067.0
356,1070.0
357,1073.0
358,1076.0
359,1079.0
360,1082.0
361,1085.0
362,1088.0
363,1091.0
364,1094.0
365,1097.0
366,1100.0
367,1103.0
368,1106.0
369,1109.0
370,1112.0
371,1115.0
372,1118.0
373,1121.0
374,1124.0
375,1127.0
376,1130.0
377,1133.0
378,1136.0
379,1139.0
380,1142.0
381,1145.0
382,1148.0
383,1151.0
384,1154.0
385,1157.0
386,1160.0
387,1163.0
388,1166.0
389,1169.0
390,1172.0
391,1175.0
392,1178.0
393,1181.0
394,1184.0
395,1187.0
396,1190.0
397,1193.0
398,1196.0
399,1199.0
400,1202.0
401,1205.0
402,1208.0
403,1211.0
404,1214.0
405,1217.0
406,1220.0
407,1223.0
408,1226.0
409,1229.0
410,1232.0
411,1235.0
412,1238.0
413,1241.0
414,1244.0
415,1247.0
416,1250.0
417,1253.0
418,1256.0
419,1259.0
420,1262.0
421,1265.0
422,1268.0
423,1271.0
424,1274.0
425,1277.0
426,1280.0
427,1283.0
428,1286.0
429,1289.0
