0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
cxcon_88,0,0,0,0.0,0.0,1.0,1.0,0.07,0.07,0.0,0.06,0.08,0.0,0.0,0.0,0.0,1.0,1.0,1,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,16,255,16,2
cxcon_94,0,0,0,1.0,1.0,0.0,0.0,0.01,0.06,0.0,0.01,0.06,0.0,0.0,1.0,1.0,0.0,0.0,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,2,255,2,2
cxcon_163,0,0,0,1.0,1.0,0.0,0.0,0.1,0.06,0.0,0.04,0.07,0.0,0.0,1.0,1.0,0.0,0.0,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,11,255,9,2
cxcon_244,0,0,0,1.0,1.0,0.0,0.0,0.15,0.06,0.0,0.01,0.07,0.0,0.0,1.0,1.0,0.0,0.0,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,20,255,2,2
cxcon_331,0,0,0,0.0,0.0,1.0,1.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.0,0.0,1.0,1.0,1,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,1,255,1,2
cxcon_409,0,0,0,0.0,0.0,1.0,1.0,0.03,0.07,0.0,0.02,0.08,0.0,0.0,0.0,0.0,1.0,1.0,1,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,6,255,6,2
cxcon_430,0,0,0,1.0,1.0,0.0,0.0,0.1,0.07,0.0,0.05,0.06,0.0,0.0,1.0,1.0,0.0,0.0,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,14,255,14,2
cxcon_493,0,0,0,1.0,1.0,0.0,0.0,0.04,0.08,0.0,0.02,0.07,0.0,0.0,1.0,1.0,0.0,0.0,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,6,255,6,2
cxcon_520,0,0,0,1.0,1.0,0.0,0.0,0.04,0.06,0.0,0.04,0.08,0.0,0.0,1.0,1.0,0.0,0.0,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,10,255,11,2
cxcon_532,0,0,0,1.0,1.0,0.0,0.0,0.16,0.06,0.0,0.08,0.07,0.0,0.0,1.0,1.0,0.0,0.0,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,20,255,20,2
